
Cores Qtd: 4	Tamanho do Problema: 1024000000

	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 113 	Intervalo: 1.77 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 981 	Intervalo: 0.20 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 2.00e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 623 	Intervalo: 0.32 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 825 	Intervalo: 0.24 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.98e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 983 	Intervalo: 0.20 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 424 	Intervalo: 0.47 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 286 	Intervalo: 0.70 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 593 	Intervalo: 0.34 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 593 	Intervalo: 0.34 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 1.97e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 2048000000 	Numero de Bins: 88 	Intervalo: 2.27 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72

Cores Qtd: 16	Tamanho do Problema: 3072000000

	Tempo: 2.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 995 	Intervalo: 0.20 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
	Tempo: 2.95e+01 	Intervalo: [1500.00, 1700.00] 	Tamanho da sequencia: 3072000000 	Numero de Bins: 969 	Intervalo: 0.21 	Media da distribuicao: 1616 	Desvio padrao da distribuicao: 72
